data: 2024-03-02
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-04-05
import: 803.21

numfactura: F24000433
data: 2024-03-02
adreca: JOFERTRANS, S.L.CARRER TORRENT DEL MATRE, S/N. POL. IND. EL GRAB08758 - CERVELLOBARCELONA
compte: ES3800810006250001497454
datavenciment: 2024-04-20
import: 724.79

numfactura: F24000436
data: 2024-03-02
adreca: LABORATORIOS ESPINOS Y BOFILL, S.A. "LEBSA"CARRETERA HOSPITALET, 3008940 - CORNELLA DE LLOBREGATBARCELONA
compte: ES6000490249852910029534
datavenciment: 2024-04-25
import: 647.41

numfactura: F24000437
data: 2024-03-02
adreca: LABORATORIOS ESPINOS Y BOFILL, S.A. "LEBSA"CARRETERA HOSPITALET, 3008940 - CORNELLA DE LLOBREGATBARCELONA
compte: ES6000490249852910029534
datavenciment: 2024-04-25
import: 978.89

numfactura: F24000439
data: 2024-03-02
adreca: M. D. LACTICS, S.L.CARRER POTOSSI, 1108755 - CASTELLBISBALBARCELONA
compte: ES8321008611430200046026
datavenciment: 2024-04-05
import: 786.50

numfactura: F24000461
data: 2024-03-02
adreca: B28 C O N S T R U C C I O N S, S L.C/ DEL PLA Nº6, NAU APOL. IND. CAN FORNS08410 - VILANOVA DEL VALLESBARCELONA
compte: ES9300810034500001896001
datavenciment: 2024-03-29
import: 641.60

numfactura: F24000467
data: 2024-03-02
adreca: CAN LLONG 1952 CONSTRUCCIONES Y PROMOCIONES S LCARRER CARRER VENECIA S/N08208 - SABADELLESPAÑA
compte: ES3001280534170100048321
datavenciment: 2024-03-29
import: 319.72

numfactura: F24000469
data: 2024-03-02
adreca: CENTRE D' EDUCACIO LUDIC I DE TERAPIA CANI SLCALLE CAN CANYELLES S/N08338 - PREMIA DE DALTBARCELONA
compte: ES7521007060230200095891
datavenciment: 2024-03-29
import: 235.04

numfactura: F24000481
data: 2024-03-02
adreca: IBERICA DEL PAPEL TISU, S.L.NAVE 1-2-3POLÍGONO INDUSTRIAL "CAN CAVALLER"08262 - CALLUSBARCELONA
compte: ES6021003460112200313541
datavenciment: 2024-04-01
import: 292.22

numfactura: F24000488
data: 2024-03-02
adreca: JS TRANS 2016 S.LCALLE CLAUDI ARAÑO I ARAÑO,15POLÍGONO INDUSTRIAL CAN MAGAROLA08100 - MOLLET DEL VALLESBARCELONA
compte: ES4201828686090200296195
datavenciment: 2024-03-29
import: 314.60

numfactura: F24000489
data: 2024-03-02
adreca: JS TRANS 2016 S.LCALLE CLAUDI ARAÑO I ARAÑO,15POLÍGONO INDUSTRIAL CAN MAGAROLA08100 - MOLLET DEL VALLESBARCELONA
compte: ES4201828686090200296195
datavenciment: 2024-02-29
import: 119.75

numfactura: F24000503
data: 2024-03-02
adreca: MUNTATGES INDUSTRIALS ICART SLCALLE LLEIDA 19085000 - VICBARCELONA
compte: ES7900810056950001675377
datavenciment: 2024-05-10
import: 190.58

numfactura: F24000514
data: 2024-03-02
adreca: SUMINISTROS ARSAM, S.A.C/MORERES, 208170 - MONTORNES DEL VALLESBARCELONA
compte: ES0800491878902210048864
datavenciment: 2024-04-01
import: 209.63

numfactura: F24000541
data: 2024-03-03
adreca: WAKEUL S.L.CARRER SANT ANTONI, 7708301 - MATAROBARCELONA
compte: ES4700750049340607129220
datavenciment: 2024-04-01
import: 190.58

numfactura: F24000545
data: 2024-03-03
adreca: LAMPISTERIA I ELECTRICITAT GIRONA, S.L.CTRA. NII-A712,1 NAUE 417458 - FORNELLS DE LA SELVAGIRONA
compte: ES7021008206560200021641
datavenciment: 2024-03-29
import: 203.28

numfactura: F24000546
data: 2024-03-03
adreca: NURIA MORA CASANYC/ROCAFORT 12    1º  03 ESC /ESQ08015 - BARCELONABARCELONA
compte: ES3621000834520103227701
datavenciment: 2024-02-29
import: 302.50

numfactura: F24000547
data: 2024-03-03
adreca: OIL SYSTEMS FLUIDS TECNOLOGY, S.L.U.C/ DEL COURE Nº30 NAVE Nº9POLIGONO INDUSTRIAL RIU CLAR43006 - TARRAGONATARRAGONA
compte: ES0500494953052616169671
datavenciment: 2024-03-29
import: 362.09

numfactura: F24000548
data: 2024-03-03
adreca: OIL SYSTEMS FLUIDS TECNOLOGY, S.L.U.C/ DEL COURE Nº30 NAVE Nº9POLIGONO INDUSTRIAL RIU CLAR43006 - TARRAGONATARRAGONA
compte: ES0500494953052616169671
datavenciment: 2024-03-29
import: 203.28

numfactura: F24000549
data: 2024-03-03
adreca: OIL SYSTEMS FLUIDS TECNOLOGY, S.L.U.C/ DEL COURE Nº30 NAVE Nº9POLIGONO INDUSTRIAL RIU CLAR43006 - TARRAGONATARRAGONA
compte: ES0500494953052616169671
datavenciment: 2024-03-29
import: 598.04

numfactura: F24000550
data: 2024-03-03
adreca: PROMO GIROHOME S. L.C/BAIXADA DE LA COMA,217244 - CASSA DE LA SELVAGIRONA
compte: ES4121000002570202209160
datavenciment: 2024-02-29
import: 228.69

numfactura: F24000551
data: 2024-03-03
adreca: UNECO, S.A.CARRER FRANÇA, 40-42 POL. IND. ROSANES08769 - CASTELLVI ROSANESBARCELONA
compte: ES9001280520460500007881
datavenciment: 2024-03-30
import: 1245.09

numfactura: F24000552
data: 2024-03-04
adreca: GROUP BM FORWARDING SLLONGITUDINAL 4, 22 OFICINA Nº 22POLIGON INDUSTRIAL MERCABARNA08040 - BARCELONABARCELONA
compte: ES3900817090360001300031
datavenciment: 2024-03-29
import: 292.22

numfactura: F24000553
data: 2024-03-04
adreca: RANCHO HOTEL, S. A.PASSEIG DE LA MARINA, 21208860 - CASTELLDEFELSBARCELONA
compte: ES1000491883342410218000
datavenciment: 2024-04-01
import: 133.40

numfactura: F24000594
data: 2024-03-06
adreca: BARDINET, S.A.CAMI CAN VALLS, S/N.08790 - GELIDABARCELONA
compte: ES4901825424580010064004
datavenciment: 2024-04-20
import: 3203.98

numfactura: F24000645
data: 2024-03-15
adreca: PRODUCCION Y COMERCIALIZACION AGRICOLA, S.A. "PROCASA"CARRETERA DE CAMBRILS, KM. 6,243206 - REUSTARRAGONA
compte: ES4921008669770200063606
datavenciment: 2024-03-15
import: 465.85

numfactura: F24000700
data: 2024-03-25
adreca: PRODUCCION Y COMERCIALIZACION AGRICOLA, S.A. "PROCASA"CARRETERA DE CAMBRILS, KM. 6,243206 - REUSTARRAGONA
compte: ES4921008669770200063606
datavenciment: 2024-03-25
import: 1494.88

numfactura: F24000711
data: 2024-03-27
adreca: OUTLET INDUSTRIALCARRER VERGE DEL REMEI, 18AD500 - ANDORRA LA VELLAANDORRA LA VELLA
compte: 200000031101123079910101
datavenciment: 2024-03-30
import: 5630.00

numfactura: F24000716
data: 2024-03-30
adreca: UNECO, S.A.CARRER FRANÇA, 40-42 POL. IND. ROSANES08769 - CASTELLVI ROSANESBARCELONA
compte: ES9001280520460500007881
datavenciment: 2024-05-30
import: 1245.09

numfactura: F24000741
data: 2024-03-30
adreca: M. D. LACTICS, S.L.CARRER POTOSSI, 1108755 - CASTELLBISBALBARCELONA
compte: ES8321008611430200046026
datavenciment: 2024-05-05
import: 786.50

numfactura: F24000743
data: 2024-03-30
adreca: LABORATORIOS ESPINOS Y BOFILL, S.A. "LEBSA"CARRETERA HOSPITALET, 3008940 - CORNELLA DE LLOBREGATBARCELONA
compte: ES6000490249852910029534
datavenciment: 2024-05-25
import: 692.06

numfactura: F24000744
data: 2024-03-30
adreca: LABORATORIOS ESPINOS Y BOFILL, S.A. "LEBSA"CARRETERA HOSPITALET, 3008940 - CORNELLA DE LLOBREGATBARCELONA
compte: ES6000490249852910029534
datavenciment: 2024-05-25
import: 942.59

numfactura: F24000747
data: 2024-03-30
adreca: JOFERTRANS, S.L.CARRER TORRENT DEL MATRE, S/N. POL. IND. EL GRAB08758 - CERVELLOBARCELONA
compte: ES3800810006250001497454
datavenciment: 2024-05-20
import: 724.79

numfactura: F24000756
data: 2024-03-30
adreca: GELATS SOLER ARTESANS D'ORXATA I TORRONS, S.L.CARRER BRONZE, 2POL.IND. LES GUIXERES08915 - BADALONA (BARCELONA)BARCELONA
compte: ES3701820262930201630116
datavenciment: 2024-05-15
import: 780.49

numfactura: F24000766
data: 2024-03-30
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-05-05
import: 652.30

numfactura: F24000767
data: 2024-03-30
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-05-05
import: 961.38

numfactura: F24000768
data: 2024-03-30
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-05-05
import: 238.13

numfactura: F24000769
data: 2024-03-30
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-05-05
import: 1012.39

numfactura: F24000770
data: 2024-03-30
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-05-05
import: 858.60

numfactura: F24000776
data: 2024-03-30
adreca: CLOUD MOUNTAIN, S.L.CARRER NARCIS MONTURIOL, 60, PLANTA 3ª. P. 1ª.08008 - BARCELONABARCELONA
compte: ES4168880001676328605300
datavenciment: 2024-05-20
import: 867.21

numfactura: F24000784
data: 2024-03-30
adreca: BIOCONSERVACION, SAUCALLE DEL VAPOR,12POLÍGONO DEL REGAS08850 - GAVABARCELONA
compte: ES5400810008180001186524
datavenciment: 2024-05-20
import: 867.21

numfactura: F24000785
data: 2024-03-30
adreca: BARDINET, S.A.CAMI CAN VALLS, S/N.08790 - GELIDABARCELONA
compte: ES4901825424580010064004
datavenciment: 2024-05-20
import: 971.13

numfactura: F24000786
data: 2024-03-30
adreca: BARDINET, S.A.CAMI CAN VALLS, S/N.08790 - GELIDABARCELONA
compte: ES4901825424580010064004
datavenciment: 2024-05-20
import: 1128.68

numfactura: F24000788
data: 2024-03-30
adreca: ANTONI IZQUIERDO GOURMET SOCIEDAD LIMITADACARRETERA C-31,  SALIDA 328 ANTONIO IZQUIERDOMAS DELS ARCS GOURMET17230 - PALAMOSGIRONA
compte: ES9001820843060201628819
datavenciment: 2024-05-20
import: 950.50

numfactura: F24000791
data: 2024-03-30
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-05-02
import: 858.60

numfactura: F24000792
data: 2024-03-30
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-05-02
import: 1121.17

numfactura: F24000793
data: 2024-03-30
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-05-02
import: 1121.17

numfactura: F24000794
data: 2024-03-30
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-05-02
import: 1121.17

numfactura: F24000795
data: 2024-03-30
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-05-02
import: 231.26

numfactura: F24000801
data: 2024-03-30
adreca: WAKEUL S.L.CARRER SANT ANTONI, 7708301 - MATAROBARCELONA
compte: ES4700750049340607129220
datavenciment: 2024-05-01
import: 190.58

numfactura: F24000829
data: 2024-03-31
adreca: SUMINISTROS ARSAM, S.A.C/MORERES, 208170 - MONTORNES DEL VALLESBARCELONA
compte: ES0800491878902210048864
datavenciment: 2024-05-01
import: 209.63

numfactura: F24000837
data: 2024-03-31
adreca: PROMO GIROHOME S. L.C/BAIXADA DE LA COMA,217244 - CASSA DE LA SELVAGIRONA
compte: ES4121000002570202209160
datavenciment: 2024-03-31
import: 228.69

numfactura: F24000841
data: 2024-03-31
adreca: OIL SYSTEMS FLUIDS TECNOLOGY, S.L.U.C/ DEL COURE Nº30 NAVE Nº9POLIGONO INDUSTRIAL RIU CLAR43006 - TARRAGONATARRAGONA
compte: ES0500494953052616169671
datavenciment: 2024-04-30
import: 362.09

numfactura: F24000842
data: 2024-03-31
adreca: OIL SYSTEMS FLUIDS TECNOLOGY, S.L.U.C/ DEL COURE Nº30 NAVE Nº9POLIGONO INDUSTRIAL RIU CLAR43006 - TARRAGONATARRAGONA
compte: ES0500494953052616169671
datavenciment: 2024-04-30
import: 203.28

numfactura: F24000843
data: 2024-03-31
adreca: OIL SYSTEMS FLUIDS TECNOLOGY, S.L.U.C/ DEL COURE Nº30 NAVE Nº9POLIGONO INDUSTRIAL RIU CLAR43006 - TARRAGONATARRAGONA
compte: ES0500494953052616169671
datavenciment: 2024-04-30
import: 598.04

numfactura: F24000844
data: 2024-03-31
adreca: NURIA MORA CASANYC/ROCAFORT 12    1º  03 ESC /ESQ08015 - BARCELONABARCELONA
compte: ES3621000834520103227701
datavenciment: 2024-03-31
import: 302.50

numfactura: F24000846
data: 2024-03-31
adreca: MUNTATGES INDUSTRIALS ICART SLCALLE LLEIDA 19085000 - VICBARCELONA
compte: ES7900810056950001675377
datavenciment: 2024-06-10
import: 190.58

numfactura: F24000859
data: 2024-03-31
adreca: LAMPISTERIA I ELECTRICITAT GIRONA, S.L.CTRA. NII-A712,1 NAUE 417458 - FORNELLS DE LA SELVAGIRONA
compte: ES7021008206560200021641
datavenciment: 2024-04-30
import: 203.28

numfactura: F24000862
data: 2024-03-31
adreca: JS TRANS 2016 S.LCALLE CLAUDI ARAÑO I ARAÑO,15POLÍGONO INDUSTRIAL CAN MAGAROLA08100 - MOLLET DEL VALLESBARCELONA
compte: ES4201828686090200296195
datavenciment: 2024-04-30
import: 314.60

numfactura: F24000863
data: 2024-03-31
adreca: JS TRANS 2016 S.LCALLE CLAUDI ARAÑO I ARAÑO,15POLÍGONO INDUSTRIAL CAN MAGAROLA08100 - MOLLET DEL VALLESBARCELONA
compte: ES4201828686090200296195
datavenciment: 2024-03-31
import: 248.05

numfactura: F24000869
data: 2024-03-31
adreca: IBERICA DEL PAPEL TISU, S.L.NAVE 1-2-3POLÍGONO INDUSTRIAL "CAN CAVALLER"08262 - CALLUSBARCELONA
compte: ES6021003460112200313541
datavenciment: 2024-05-01
import: 292.22

numfactura: F24000870
data: 2024-03-31
adreca: GROUP BM FORWARDING SLLONGITUDINAL 4, 22 OFICINA Nº 22POLIGON INDUSTRIAL MERCABARNA08040 - BARCELONABARCELONA
compte: ES3900817090360001300031
datavenciment: 2024-04-30
import: 292.22

numfactura: F24000884
data: 2024-03-31
adreca: CENTRE D' EDUCACIO LUDIC I DE TERAPIA CANI SLCALLE CAN CANYELLES S/N08338 - PREMIA DE DALTBARCELONA
compte: ES7521007060230200095891
datavenciment: 2024-04-30
import: 235.04

numfactura: F24000886
data: 2024-03-31
adreca: CAN LLONG 1952 CONSTRUCCIONES Y PROMOCIONES S LCARRER CARRER VENECIA S/N08208 - SABADELLESPAÑA
compte: ES3001280534170100048321
datavenciment: 2024-04-30
import: 319.72

numfactura: F24000894
data: 2024-03-31
adreca: B28 C O N S T R U C C I O N S, S L.C/ DEL PLA Nº6, NAU APOL. IND. CAN FORNS08410 - VILANOVA DEL VALLESBARCELONA
compte: ES9300810034500001896001
datavenciment: 2024-04-30
import: 641.60

Cantidad de registros: 80
